VRP name,Latitude,Longitude,Associated Aerodrome,ICAO
KELTY,560805.00N,0032315.00W,EDINBURGH,EGPH
KESWICK ROUNDABOUT,523517N,0011630E,NORWICH,EGSH
KIDBROOKE FLATS,512741.29N,0000136.68E,LONDON CITY,EGLC
KILMACOLM,555340.00N,0043739.00W,GLASGOW,EGPF
KILMARNOCK,553645.00N,0042954.00W,"GLASGOW, PRESTWICK","EGPF, EGPK"
KIMPTON HALL,515045.00N,0001748.00W,LONDON LUTON,EGGW
KINGSTON BRIDGE,555122.00N,0041611.00W,GLASGOW,EGPF
KIRKBY,532848.00N,0025254.00W,LIVERPOOL,EGGP
KIRKCALDY HARBOUR,560650.00N,0030900.00W,EDINBURGH,EGPH
KIRKLISTON,555720.00N,0032411.00W,EDINBURGH,EGPH
KIRKNEWTON,555315.00N,0032505.00W,EDINBURGH,EGPH
LACEBY CROSSROADS,533207N,0001049W,HUMBERSIDE,EGNJ
LAMALOAD RESERVOIR,531620N,0020233W,MANCHESTER,EGCC
LAMB HOLM ISLAND,585314N,0025336W,KIRKWALL,EGPA
LANGHOLM,550911N,0030000W,CARLISLE,EGNC
LARNE,545112.00N,0054931.00W,BELFAST ALDERGROVE,EGAA
LAVERNOCK POINT,512423.00N,0031014.00W,"CARDIFF, ST ATHAN","EGFF, EGSY"
LAXEY,541345.00N,0042406.00W,ISLE OF MAN,EGNS
LECHLADE,514136.00N,0014124.00W,BRIZE NORTON (ENR 2.1),EGVN
LEIGH FLASH,532923N,0023335W,"MANCHESTER, MANCHESTER BARTON","EGCC, EGCB"
LENWADE LAKES,524307N,0010609E,NORWICH,EGSH
LETTERKENNY OFFICE PARK,545754N,0074351W,LONDONDERRY/EGLINTON,EGAE
LEWES INTERSECTION (A27(T)/A26),505152N,0000127E,SHOREHAM,EGKA
LICHFIELD CITY RAILWAY JUNCTION,524110.00N,0014755.00W,BIRMINGHAM,EGBB
LIFFORD BRIDGE,544953N,0072847W,LONDONDERRY/EGLINTON,EGAE
LINGA ISLAND,602124N,0012134W,SCATSTA,EGPM
LITTLEHAMPTON,504846N,0003247W,SHOREHAM,EGKA
LLANDEGFEDD RESERVOIR,514129.72N,0025814.51W,"CARDIFF, ST ATHAN","EGFF, EGSY"
LOCH WATTEN,582900N,0032006W,WICK,EGPC
LOCHINDORB,572410N,0034257W,INVERNESS,EGPE
LOCHMADDY PIER,573546N,0070924W,BENBECULA,EGPL
LOCKERBIE,550714N,0032124W,CARLISLE,EGNC
LONDON EYE,513012.52N,0000711.45W,"LONDON CITY, LONDON HEATHROW","EGLC, EGLL"
LONDON GATEWAY PORT,513017N,0003011E,SOUTHEND,EGMC
LONGANNET POWER STATION,560256N,0034057W,EDINBURGH,EGPH
LUNNA HOLM,602715N,0010234W,SCATSTA,EGPM
LYBSTER VILLAGE,581800N,0031706W,WICK,EGPC
M1 JUNCTION 22 MARKFIELD,524144N,0011733W,EAST MIDLANDS,EGNX
M1 JUNCTION 8,514522N,0002458W,LONDON LUTON,EGGW
M1 JUNCTION 9,514913N,0002505W,LONDON LUTON,EGGW
M1/A1(M) JUNCTION,534851.75N,0012025.27W,LEEDS EAST,EGCM
M1/M18 THURCROFT INTERCHANGE,532334N,0011643W,DONCASTER SHEFFIELD,EGCN
M11 J4,513538N,0000213E,LONDON CITY,EGLC
M18 STAINFORTH SERVICES,533529N,0005915W,DONCASTER SHEFFIELD,EGCN
M25 J13,512639.89N,0003145.82W,LONDON HEATHROW,EGLL
M25 JUNCTION 7/M23 JUNCTION 8,511550N,0000741W,REDHILL,EGKR
M27 JUNCTION 2 (OWER),505645.12N,0013146.65W,SOUTHAMPTON,EGHI
M3 JUNCTION 3,512121.06N,0004050.40W,"FARNBOROUGH, LONDON HEATHROW","EGLF, EGLL"
M3 JUNCTION 4,511859N,0004525W,FARNBOROUGH,EGLF
M4 JUNCTION 18,513007N,0022100W,BRISTOL,EGGD
M4 JUNCTION 24,513607N,0025532W,"CARDIFF, ST ATHAN","EGFF, EGSY"
M4 JUNCTION 36 (SERVICES) (NORTH OF BRIDGEND),513156N,0033424W,"CARDIFF, ST ATHAN","EGFF, EGSY"
