VRP name,Latitude,Longitude,Associated Aerodrome,ICAO
RADSTOCK,511732.00N,0022655.00W,BRISTOL,EGGD
REDCAR RACECOURSE,543626N,0010351W,TEESSIDE INTERNATIONAL,EGNV
RHINNS POINT,554024N,0062906W,ISLAY,EGPI
ROCHES DOUVRES LIGHTHOUSE,490619N,0024853W,"GUERNSEY, JERSEY","EGJB, EGJJ"
ROMSEY,505927.00N,0012945.00W,SOUTHAMPTON,EGHI
ROSTHERNE,532114.00N,0022307.00W,MANCHESTER,EGCC
RUNCORN BRIDGE,532046.82N,0024416.41W,LIVERPOOL,EGGP
SAINTFIELD,542737.00N,0054958.00W,BELFAST/CITY,EGAC
SALE WATER PARK,532600.00N,0021810.00W,MANCHESTER,EGCC
SANDBANKS,504100.00N,0015650.00W,BOURNEMOUTH,EGHH
SEAFORTH,532741.00N,0030205.00W,LIVERPOOL,EGGP
SEDGEFIELD RACECOURSE,543845N,0012806W,TEESSIDE INTERNATIONAL,EGNV
SEVENOAKS,511636N,0001054E,BIGGIN HILL,EGKB
SHEERNESS DOCKS,512649N,0004441E,SOUTHEND,EGMC
SILLOTH,545205N,0032341W,CARLISLE,EGNC
SOUTH EAST CORNER,491000.00N,0020200.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
SOUTH WOODHAM FERRERS SEWAGE WORKS,513841N,0003606E,SOUTHEND,EGMC
SOUTHAM,521621N,0012304W,COVENTRY,EGBE
SOUTHAMPTON (SAM) VOR,505718.90N,0012042.20W,SOUTHAMPTON,EGHI
SOUTHEND PIER SEAWARD END,513054N,0004319E,SOUTHEND,EGMC
SOUTHMINSTER LAKES,513928.00N,0004949.00E,SOUTHEND,EGMC
SOUTHPORT PIER,533919.10N,0030116.40W,WARTON,EGNO
SPINNAKER TOWER,504744N,0010631W,SOUTHAMPTON,EGHI
SPRIGGS SOLAR FARM,515802.63N,0002208.49E,LONDON STANSTED,EGSS
ST ANNE'S PIER,534456.75N,0030209.11W,BLACKPOOL,EGNH
ST CATHERINE'S POINT,503435N,0011753W,"BOURNEMOUTH, SOUTHAMPTON","EGHH, EGHI"
ST GERMAIN,491400N,0013800W,"GUERNSEY, JERSEY","EGJB, EGJJ"
ST GILES,513802N,0003401W,DENHAM,EGLD
ST HILARY TV MAST,512727N,0032411W,"CARDIFF, ST ATHAN","EGFF, EGSY"
ST MARTINS HEAD,495759.44N,0061558.06W,SCILLY ISLES/ST MARY'S,EGHE
ST MARTINS POINT,492517.97N,0023141.94W,"GUERNSEY, JERSEY","EGJB, EGJJ"
STAGSHAW MASTS,550200.00N,0020125.00W,NEWCASTLE,EGNT
STEWARTBY BRICKWORKS,520424N,0003103W,CRANFIELD,EGTC
STOKE HOLY CROSS,523430N,0011953E,NORWICH,EGSH
STOKESLEY,542811.00N,0011141.00W,TEESSIDE INTERNATIONAL,EGNV
STONEHAVEN,565745.00N,0021236.00W,ABERDEEN/DYCE,EGPD
STONEY CROSS (DIS AD),505442.00N,0013925.00W,BOURNEMOUTH,EGHH
STRABANE,544925N,0072753W,LONDONDERRY/EGLINTON,EGAE
STRETTON AERODROME,532046.00N,0023135.00W,"LIVERPOOL, MANCHESTER","EGGP, EGCC"
STROMBERRY,590149N,0025601W,KIRKWALL,EGPA
STUDLEY,521604.00N,0015353.00W,BIRMINGHAM,EGBB
SUNDERLAND HARBOUR,545506N,0012130W,NEWCASTLE,EGNT
SWINTON INTERCHANGE,533124.00N,0022136.00W,"MANCHESTER, MANCHESTER BARTON","EGCC, EGCB"
TADCASTER JUNCTION,535325.83N,0011405.94W,LEEDS EAST,EGCM
TAFF ELY WIND FARM,513403.06N,0032815.70W,"CARDIFF, ST ATHAN","EGFF, EGSY"
TALL TOWER,534856.95N,0030318.88W,BLACKPOOL,EGNH
TARBOCK ISLAND,532353.86N,0024830.41W,LIVERPOOL,EGGP
TARRANT RUSHTON (DISUSED AERODROME),505100.00N,0020442.00W,BOURNEMOUTH,EGHH
TARVIN ROUNDABOUT,531141.96N,0024637.80W,LIVERPOOL,EGGP
THAMES BARRIER,512950N,0000213E,LONDON CITY,EGLC
THE LIVER BUILDING (PIER HEAD),532420.73N,0025945.19W,LIVERPOOL,EGGP
THELWALL VIADUCT,532326.00N,0023021.00W,"MANCHESTER, MANCHESTER BARTON","EGCC, EGCB"
THORPE,523737N,0012242E,NORWICH,EGSH
THORSBY LAKE,531338N,0010320W,"DONCASTER SHEFFIELD, RETFORD/GAMSTON","EGCN, EGNE"
THRUMSTER MASTS,582337.9071N,0030727.5276W,WICK,EGPC
TOMATIN,572002N,0035930W,INVERNESS,EGPE
TONGHAM,511342N,0004432W,FARNBOROUGH,EGLF
TOOME (DISUSED AD),544528.00N,0062940.00W,BELFAST ALDERGROVE,EGAA
TOPSHAM,504123N,0032849W,EXETER,EGTE
TROWELL (M1 SERVICE AREA),525742.00N,0011603.00W,EAST MIDLANDS,EGNX
TUNBRIDGE WELLS,510800.00N,0001554.00E,LONDON GATWICK,EGKK
TURRIFF,573219N,0022736W,ABERDEEN/DYCE,EGPD
TYNE BRIDGES,545803.00N,0013625.00W,NEWCASTLE,EGNT
VOE,602100N,0011558W,SCATSTA,EGPM
WARE,514842.00N,0000136.00W,LONDON STANSTED,EGSS
WASHINGTON INTERSECTION (A24/A283),505434N,0002428W,SHOREHAM,EGKA
WELLS MAST,511413.44N,0023731.36W,BRISTOL,EGGD
WEMBLEY,513321.85N,0001646.42W,LONDON HEATHROW,EGLL
WENVOE TV MAST,512733.48N,0031653.65W,"CARDIFF, ST ATHAN","EGFF, EGSY"
WEST KILBRIDE,554108N,0045205W,PRESTWICK,EGPK
WEST LINTON,554510.00N,0032127.00W,EDINBURGH,EGPH
WEST MEON CROSS ROADS,510152.90N,0010430.22W,SOUTHAMPTON,EGHI
WHALEY BRIDGE,531935N,0015930W,MANCHESTER,EGCC
WHITEHEAD,544510.00N,0054234.00W,BELFAST/CITY,EGAC
WHITSTABLE HARBOUR,512148N,0010136E,SOUTHEND,EGMC
WICKHAM,505400.03N,0011114.80W,SOUTHAMPTON,EGHI
WIGAN LAKES,533116.81N,0023740.26W,"LIVERPOOL, MANCHESTER, MANCHESTER BARTON","EGGP, EGCC, EGCB"
WIGTON,544929N,0030940W,CARLISLE,EGNC
WINSFORD FLASH,531106N,0023044W,MANCHESTER,EGCC
WINTER HILL MAST,533732.01N,0023053.74W,"LIVERPOOL, MANCHESTER, MANCHESTER BARTON","EGGP, EGCC, EGCB"
WOBURN TOWN,515924N,0003709W,CRANFIELD,EGTC
WORKINGTON,543906N,0033440W,CARLISLE,EGNC
WORPLESDON STATION,511716N,0003457W,FARNBOROUGH,EGLF
